Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPG,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG,position
Stefon Diggs,HOU,17.0,39.5,1.0,5.0,0.0,5.0,0.0,160.0,107.0,1183.0,11.1,8.0,166.8,9.8,wr
Ja'Marr Chase,CIN,16.0,37.1,3.0,-6.0,0.0,-2.0,0.0,145.0,100.0,1216.0,12.2,7.0,162.7,10.2,wr
Davante Adams,LV,17.0,40.7,0.0,0.0,0.0,0.0,0.0,175.0,103.0,1144.0,11.1,8.0,162.4,9.6,wr
DK Metcalf,SEA,16.0,35.6,0.0,0.0,0.0,0.0,0.0,119.0,66.0,1114.0,16.9,8.0,159.4,10.0,wr
Amari Cooper,CLE,15.0,54.7,0.0,0.0,0.0,0.0,0.0,128.0,72.0,1250.0,17.4,5.0,155.0,10.3,wr
Calvin Ridley,TEN,17.0,51.5,9.0,23.0,0.0,2.6,0.0,136.0,76.0,1016.0,13.4,8.0,153.9,9.1,wr
Jayden Reed,GB,16.0,25.1,11.0,119.0,0.0,10.8,2.0,94.0,64.0,793.0,12.4,8.0,153.2,9.6,wr
Jordan Addison,MIN,17.0,37.4,1.0,2.0,0.0,2.0,0.0,108.0,70.0,911.0,13.0,10.0,151.3,8.9,wr
DeAndre Hopkins,TEN,17.0,36.1,2.0,9.0,0.0,4.5,0.0,137.0,75.0,1057.0,14.1,7.0,148.6,8.7,wr
Jakobi Meyers,LV,16.0,40.1,4.0,24.0,0.0,6.0,2.0,106.0,71.0,807.0,11.4,8.0,147.6,9.2,wr
DeVonta Smith,PHI,16.0,47.4,0.0,0.0,0.0,0.0,0.0,112.0,81.0,1066.0,13.2,7.0,146.6,9.2,wr
George Pickens,PIT,17.0,35.8,3.0,18.0,0.0,6.0,0.0,106.0,63.0,1140.0,18.1,5.0,145.8,8.6,wr
Chris Olave,NO,16.0,45.1,0.0,0.0,0.0,0.0,0.0,138.0,87.0,1123.0,12.9,5.0,144.3,9.0,wr
Michael Pittman,IND,16.0,60.6,0.0,0.0,0.0,0.0,0.0,156.0,109.0,1152.0,10.6,4.0,141.2,8.8,wr
